incident_type,urgency,location_desc,details,hazards,people,hour,is_weekend,police,ambulance,bomba
Fire,4,"Street 456, near the Forest",Small kitchen fire,Explosion risk,2 people evacuated,18,1,1,2,6
Medical,4,"Street 11, near the Residential Area",Cardiac arrest,None,1 person involved,13,1,1,4,2
Accident,1,"Street 203, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,10,1,1,2,0
Fire,3,"Street 316, near the Highway",Spreading to trees,Chemical smell,6 people evacuated,9,1,1,1,5
Fire,4,"Street 19, near the Residential Area",Spreading to trees,Thick smoke,3 people evacuated,6,1,1,2,6
Other,5,"Street 247, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,11,1,2,2,3
Accident,3,"Street 70, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,11,1,2,3,1
Medical,3,"Street 414, near the Highway",Cardiac arrest,None,1 person involved,9,0,1,3,1
Fire,3,"Street 119, near the Industrial Zone",Small kitchen fire,Explosion risk,7 people evacuated,13,0,1,1,5
Medical,3,"Street 53, near the City Center",Allergic reaction,None,1 person involved,6,0,1,3,1
Crime,4,"Street 135, near the Industrial Zone",Public disturbance,Aggressive behavior,Suspect and 1 witnesses,22,1,4,2,2
Medical,5,"Street 226, near the Residential Area",Unconscious person,None,1 person involved,6,0,2,4,3
Other,2,"Street 42, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,15,0,0,1,1
Crime,5,"Street 330, near the Highway",Armed robbery in progress,None,Suspect and 1 witnesses,22,0,5,2,3
Accident,2,"Street 418, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,21,0,1,2,1
Fire,1,"Street 422, near the Industrial Zone",Spreading to trees,Thick smoke,1 people evacuated,1,0,0,0,4
Accident,1,"Street 201, near the Forest",General emergency reported,Unknown,Multiple bystanders,16,0,1,2,0
Crime,4,"Street 95, near the Highway",Break-in,Weapons sighted,Suspect and 2 witnesses,8,1,4,2,2
Crime,2,"Street 294, near the City Center",Break-in,Weapons sighted,Suspect and 1 witnesses,6,1,3,1,1
Crime,5,"Street 438, near the Industrial Zone",Break-in,Weapons sighted,Suspect and 1 witnesses,2,1,5,2,3
Other,5,"Street 461, near the Highway",General emergency reported,Unknown,Multiple bystanders,18,1,2,2,3
Crime,3,"Street 296, near the Industrial Zone",Armed robbery in progress,Aggressive behavior,Suspect and 2 witnesses,13,0,4,1,1
Crime,5,"Street 275, near the Forest",Armed robbery in progress,Aggressive behavior,Suspect and 1 witnesses,11,0,5,2,3
Medical,2,"Street 212, near the Residential Area",Allergic reaction,None,1 person involved,19,1,0,3,1
Crime,5,"Street 41, near the Highway",Armed robbery in progress,None,Suspect and 2 witnesses,2,1,5,2,3
Other,2,"Street 58, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,3,0,0,1,1
Other,5,"Street 384, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,0,0,2,2,3
Other,5,"Street 217, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,20,0,2,2,3
Crime,4,"Street 16, near the Residential Area",Armed robbery in progress,Weapons sighted,Suspect and 1 witnesses,18,0,4,2,2
Other,4,"Street 495, near the City Center",General emergency reported,Unknown,Multiple bystanders,16,0,1,2,2
Crime,5,"Street 272, near the Residential Area",Armed robbery in progress,Aggressive behavior,Suspect and 2 witnesses,8,0,5,2,3
Medical,1,"Street 282, near the City Center",Cardiac arrest,None,1 person involved,11,1,0,2,0
Crime,4,"Street 397, near the Forest",Armed robbery in progress,Weapons sighted,Suspect and 2 witnesses,6,0,4,2,2
Crime,5,"Street 65, near the Forest",Public disturbance,Aggressive behavior,Suspect and 2 witnesses,2,1,5,2,3
Accident,1,"Street 430, near the Highway",General emergency reported,Unknown,Multiple bystanders,10,0,1,2,0
Crime,1,"Street 185, near the Industrial Zone",Armed robbery in progress,None,Suspect and 2 witnesses,19,0,3,0,0
Crime,5,"Street 52, near the City Center",Public disturbance,None,Suspect and 1 witnesses,22,0,5,2,3
Medical,3,"Street 271, near the Residential Area",Allergic reaction,None,1 person involved,19,1,1,3,1
Fire,4,"Street 367, near the City Center",Small kitchen fire,Chemical smell,2 people evacuated,22,0,1,2,6
Medical,3,"Street 89, near the Forest",Unconscious person,None,1 person involved,21,0,1,3,1
Other,5,"Street 367, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,22,1,2,2,3
Other,1,"Street 264, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,9,1,0,0,0
Medical,5,"Street 284, near the Industrial Zone",Allergic reaction,None,1 person involved,19,0,2,4,3
Crime,5,"Street 422, near the Highway",Armed robbery in progress,None,Suspect and 2 witnesses,17,1,5,2,3
Accident,3,"Street 260, near the Highway",General emergency reported,Unknown,Multiple bystanders,12,0,2,3,1
Fire,3,"Street 457, near the Highway",Small kitchen fire,Chemical smell,7 people evacuated,20,1,1,1,5
Fire,1,"Street 162, near the Highway",Small kitchen fire,Explosion risk,1 people evacuated,18,0,0,0,4
Other,5,"Street 237, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,20,1,2,2,3
Medical,4,"Street 239, near the Industrial Zone",Allergic reaction,None,1 person involved,19,1,1,4,2
Crime,1,"Street 377, near the Forest",Armed robbery in progress,Aggressive behavior,Suspect and 2 witnesses,10,0,3,0,0
Accident,5,"Street 355, near the Highway",General emergency reported,Unknown,Multiple bystanders,16,1,3,4,3
Crime,2,"Street 121, near the Highway",Public disturbance,None,Suspect and 1 witnesses,0,1,3,1,1
Fire,5,"Street 240, near the Forest",Spreading to trees,Thick smoke,5 people evacuated,1,0,2,2,7
Other,2,"Street 377, near the City Center",General emergency reported,Unknown,Multiple bystanders,22,0,0,1,1
Crime,3,"Street 354, near the City Center",Armed robbery in progress,Aggressive behavior,Suspect and 1 witnesses,23,0,4,1,1
Accident,4,"Street 401, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,10,1,2,3,2
Fire,2,"Street 122, near the Industrial Zone",Building engulfed,Thick smoke,7 people evacuated,17,1,0,1,5
Fire,1,"Street 231, near the Highway",Building engulfed,Explosion risk,1 people evacuated,0,0,0,0,4
Medical,4,"Street 316, near the City Center",Cardiac arrest,None,1 person involved,4,1,1,4,2
Crime,3,"Street 491, near the Highway",Armed robbery in progress,None,Suspect and 1 witnesses,11,0,4,1,1
Crime,2,"Street 359, near the Residential Area",Public disturbance,Weapons sighted,Suspect and 1 witnesses,18,1,3,1,1
Other,3,"Street 252, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,19,0,1,1,1
Fire,5,"Street 169, near the Highway",Spreading to trees,Explosion risk,8 people evacuated,9,0,2,2,7
Fire,4,"Street 231, near the Industrial Zone",Spreading to trees,Explosion risk,6 people evacuated,19,1,1,2,6
Fire,3,"Street 137, near the Industrial Zone",Spreading to trees,Explosion risk,7 people evacuated,21,0,1,1,5
Fire,1,"Street 262, near the Forest",Spreading to trees,Thick smoke,2 people evacuated,6,1,0,0,4
Other,5,"Street 84, near the City Center",General emergency reported,Unknown,Multiple bystanders,23,0,2,2,3
Accident,2,"Street 150, near the Forest",General emergency reported,Unknown,Multiple bystanders,7,0,1,2,1
Accident,1,"Street 44, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,17,1,1,2,0
Other,5,"Street 107, near the Forest",General emergency reported,Unknown,Multiple bystanders,8,0,2,2,3
Other,2,"Street 253, near the Forest",General emergency reported,Unknown,Multiple bystanders,21,0,0,1,1
Other,4,"Street 472, near the Forest",General emergency reported,Unknown,Multiple bystanders,9,0,1,2,2
Other,2,"Street 465, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,21,0,0,1,1
Other,4,"Street 364, near the City Center",General emergency reported,Unknown,Multiple bystanders,23,1,1,2,2
Other,3,"Street 434, near the City Center",General emergency reported,Unknown,Multiple bystanders,23,0,1,1,1
Other,5,"Street 191, near the Highway",General emergency reported,Unknown,Multiple bystanders,0,0,2,2,3
Medical,4,"Street 437, near the Residential Area",Unconscious person,None,1 person involved,3,0,1,4,2
Fire,2,"Street 201, near the City Center",Spreading to trees,Thick smoke,5 people evacuated,18,0,0,1,5
Accident,2,"Street 316, near the Forest",General emergency reported,Unknown,Multiple bystanders,7,1,1,2,1
Other,5,"Street 412, near the City Center",General emergency reported,Unknown,Multiple bystanders,10,1,2,2,3
Other,2,"Street 74, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,14,1,0,1,1
Fire,3,"Street 55, near the Highway",Building engulfed,Chemical smell,6 people evacuated,15,0,1,1,5
Fire,4,"Street 331, near the City Center",Building engulfed,Explosion risk,7 people evacuated,8,1,1,2,6
Crime,3,"Street 384, near the Highway",Armed robbery in progress,Weapons sighted,Suspect and 2 witnesses,22,1,4,1,1
Other,1,"Street 439, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,21,0,0,0,0
Accident,5,"Street 403, near the Highway",General emergency reported,Unknown,Multiple bystanders,21,1,3,4,3
Crime,5,"Street 208, near the Industrial Zone",Break-in,Aggressive behavior,Suspect and 2 witnesses,20,0,5,2,3
Accident,2,"Street 134, near the Highway",General emergency reported,Unknown,Multiple bystanders,15,0,1,2,1
Crime,1,"Street 76, near the City Center",Armed robbery in progress,Weapons sighted,Suspect and 2 witnesses,16,1,3,0,0
Medical,4,"Street 142, near the Residential Area",Allergic reaction,None,1 person involved,11,0,1,4,2
Medical,5,"Street 322, near the Residential Area",Allergic reaction,None,1 person involved,14,0,2,4,3
Crime,2,"Street 426, near the Industrial Zone",Armed robbery in progress,Weapons sighted,Suspect and 2 witnesses,13,1,3,1,1
Fire,1,"Street 406, near the Residential Area",Building engulfed,Thick smoke,4 people evacuated,2,1,0,0,4
Medical,5,"Street 59, near the Industrial Zone",Cardiac arrest,None,1 person involved,21,0,2,4,3
Other,1,"Street 363, near the Forest",General emergency reported,Unknown,Multiple bystanders,23,0,0,0,0
Fire,5,"Street 418, near the Industrial Zone",Spreading to trees,Thick smoke,1 people evacuated,22,0,2,2,7
Accident,1,"Street 185, near the Forest",General emergency reported,Unknown,Multiple bystanders,19,1,1,2,0
Medical,1,"Street 414, near the Residential Area",Cardiac arrest,None,1 person involved,12,0,0,2,0
Fire,4,"Street 304, near the Industrial Zone",Spreading to trees,Explosion risk,4 people evacuated,9,1,1,2,6
Other,1,"Street 428, near the Forest",General emergency reported,Unknown,Multiple bystanders,16,1,0,0,0
Medical,4,"Street 41, near the Residential Area",Allergic reaction,None,1 person involved,14,0,1,4,2
Crime,5,"Street 465, near the Highway",Break-in,None,Suspect and 2 witnesses,20,0,5,2,3
Fire,1,"Street 41, near the City Center",Spreading to trees,Chemical smell,6 people evacuated,6,0,0,0,4
Crime,2,"Street 381, near the Residential Area",Armed robbery in progress,Aggressive behavior,Suspect and 1 witnesses,16,1,3,1,1
Other,2,"Street 135, near the Forest",General emergency reported,Unknown,Multiple bystanders,21,0,0,1,1
Crime,3,"Street 151, near the Residential Area",Public disturbance,None,Suspect and 2 witnesses,21,1,4,1,1
Other,4,"Street 205, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,18,0,1,2,2
Medical,3,"Street 50, near the Residential Area",Cardiac arrest,None,1 person involved,0,1,1,3,1
Accident,4,"Street 321, near the Forest",General emergency reported,Unknown,Multiple bystanders,8,1,2,3,2
Fire,3,"Street 270, near the Residential Area",Spreading to trees,Thick smoke,4 people evacuated,2,1,1,1,5
Accident,3,"Street 418, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,6,0,2,3,1
Fire,5,"Street 267, near the Industrial Zone",Small kitchen fire,Thick smoke,9 people evacuated,2,0,2,2,7
Accident,5,"Street 391, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,13,0,3,4,3
Accident,2,"Street 474, near the Forest",General emergency reported,Unknown,Multiple bystanders,13,0,1,2,1
Medical,3,"Street 187, near the Industrial Zone",Allergic reaction,None,1 person involved,23,0,1,3,1
Medical,5,"Street 252, near the Industrial Zone",Unconscious person,None,1 person involved,6,0,2,4,3
Accident,1,"Street 426, near the Forest",General emergency reported,Unknown,Multiple bystanders,5,0,1,2,0
Medical,2,"Street 192, near the City Center",Cardiac arrest,None,1 person involved,15,1,0,3,1
Accident,4,"Street 349, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,19,0,2,3,2
Medical,1,"Street 285, near the City Center",Cardiac arrest,None,1 person involved,7,1,0,2,0
Other,5,"Street 244, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,2,1,2,2,3
Crime,3,"Street 378, near the City Center",Armed robbery in progress,Weapons sighted,Suspect and 1 witnesses,2,1,4,1,1
Other,5,"Street 28, near the Highway",General emergency reported,Unknown,Multiple bystanders,6,1,2,2,3
Crime,3,"Street 433, near the Industrial Zone",Public disturbance,Weapons sighted,Suspect and 2 witnesses,15,0,4,1,1
Crime,1,"Street 78, near the City Center",Armed robbery in progress,None,Suspect and 1 witnesses,12,0,3,0,0
Crime,4,"Street 476, near the Forest",Break-in,Aggressive behavior,Suspect and 2 witnesses,14,1,4,2,2
Accident,3,"Street 107, near the Highway",General emergency reported,Unknown,Multiple bystanders,5,1,2,3,1
Accident,3,"Street 13, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,15,1,2,3,1
Crime,5,"Street 443, near the Forest",Public disturbance,Weapons sighted,Suspect and 1 witnesses,4,1,5,2,3
Accident,5,"Street 105, near the Highway",General emergency reported,Unknown,Multiple bystanders,14,0,3,4,3
Medical,4,"Street 147, near the Highway",Cardiac arrest,None,1 person involved,10,1,1,4,2
Crime,2,"Street 197, near the Industrial Zone",Break-in,None,Suspect and 1 witnesses,3,0,3,1,1
Medical,5,"Street 295, near the Forest",Cardiac arrest,None,1 person involved,4,0,2,4,3
Fire,4,"Street 55, near the Forest",Small kitchen fire,Thick smoke,6 people evacuated,7,0,1,2,6
Medical,1,"Street 128, near the Forest",Unconscious person,None,1 person involved,22,0,0,2,0
Fire,5,"Street 349, near the Highway",Spreading to trees,Chemical smell,7 people evacuated,9,0,2,2,7
Other,4,"Street 472, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,12,1,1,2,2
Other,1,"Street 86, near the Forest",General emergency reported,Unknown,Multiple bystanders,8,1,0,0,0
Accident,4,"Street 209, near the City Center",General emergency reported,Unknown,Multiple bystanders,0,1,2,3,2
Medical,1,"Street 102, near the City Center",Unconscious person,None,1 person involved,14,0,0,2,0
Fire,3,"Street 228, near the Industrial Zone",Spreading to trees,Chemical smell,7 people evacuated,21,1,1,1,5
Crime,2,"Street 92, near the Industrial Zone",Break-in,Aggressive behavior,Suspect and 2 witnesses,20,1,3,1,1
Medical,4,"Street 306, near the Highway",Cardiac arrest,None,1 person involved,2,1,1,4,2
Crime,3,"Street 315, near the Industrial Zone",Armed robbery in progress,None,Suspect and 1 witnesses,17,0,4,1,1
Crime,1,"Street 228, near the City Center",Armed robbery in progress,None,Suspect and 2 witnesses,14,0,3,0,0
Accident,1,"Street 370, near the City Center",General emergency reported,Unknown,Multiple bystanders,11,0,1,2,0
Medical,3,"Street 127, near the Industrial Zone",Allergic reaction,None,1 person involved,4,1,1,3,1
Medical,4,"Street 264, near the City Center",Allergic reaction,None,1 person involved,7,1,1,4,2
Accident,5,"Street 289, near the Highway",General emergency reported,Unknown,Multiple bystanders,3,1,3,4,3
Accident,2,"Street 134, near the Highway",General emergency reported,Unknown,Multiple bystanders,21,1,1,2,1
Fire,1,"Street 360, near the City Center",Spreading to trees,Chemical smell,2 people evacuated,2,1,0,0,4
